numero_experimento;dataset;estructura_de_datos;clave;cantidad_consultas;tiempo_ejecucion
2;auspol2019;hash_cerrado_linear;user_id;20000;0.002826700
2;auspol2019;hash_cerrado_linear;user_id;30000;0.003244000
2;auspol2019;hash_cerrado_linear;user_id;40000;0.003612000
2;auspol2019;hash_cerrado_linear;user_id;50000;0.003971400
2;auspol2019;hash_cerrado_linear;user_id;60000;0.005884600
2;auspol2019;hash_cerrado_linear;user_id;70000;0.006246100
2;auspol2019;hash_cerrado_linear;user_id;80000;0.006593600
2;auspol2019;hash_cerrado_linear;user_id;90000;0.006918600
2;auspol2019;hash_cerrado_linear;user_id;100000;0.007210700
2;auspol2019;hash_cerrado_linear;user_id;110000;0.007524200
2;auspol2019;hash_cerrado_linear;user_id;120000;0.007832100
2;auspol2019;hash_cerrado_linear;user_id;130000;0.008105200
2;auspol2019;hash_cerrado_linear;user_id;140000;0.008363900
2;auspol2019;hash_cerrado_linear;user_id;150000;0.008828400
2;auspol2019;hash_cerrado_linear;user_id;160000;0.009549800
2;auspol2019;hash_cerrado_linear;user_id;170000;0.010219500
2;auspol2019;hash_cerrado_linear;user_id;180000;0.010548800
2;auspol2019;hash_cerrado_linear;screen_name;10000;0.002076700
2;auspol2019;hash_cerrado_linear;screen_name;20000;0.004601200
2;auspol2019;hash_cerrado_linear;screen_name;30000;0.005220000
2;auspol2019;hash_cerrado_linear;screen_name;40000;0.005778600
2;auspol2019;hash_cerrado_linear;screen_name;50000;0.006340700
2;auspol2019;hash_cerrado_linear;screen_name;60000;0.009695200
2;auspol2019;hash_cerrado_linear;screen_name;70000;0.010214600
2;auspol2019;hash_cerrado_linear;screen_name;80000;0.010747700
2;auspol2019;hash_cerrado_linear;screen_name;90000;0.011221500
2;auspol2019;hash_cerrado_linear;screen_name;100000;0.011683600
2;auspol2019;hash_cerrado_linear;screen_name;110000;0.012135300
2;auspol2019;hash_cerrado_linear;screen_name;120000;0.012593900
2;auspol2019;hash_cerrado_linear;screen_name;130000;0.013039100
2;auspol2019;hash_cerrado_linear;screen_name;140000;0.013466600
2;auspol2019;hash_cerrado_linear;screen_name;150000;0.013974200
2;auspol2019;hash_cerrado_linear;screen_name;160000;0.014570600
2;auspol2019;hash_cerrado_linear;screen_name;170000;0.015120600
2;auspol2019;hash_cerrado_linear;screen_name;180000;0.015593800
2;auspol2019;hash_cerrado_quadratic;user_id;10000;0.001382000
2;auspol2019;hash_cerrado_quadratic;user_id;20000;0.002264600
2;auspol2019;hash_cerrado_quadratic;user_id;30000;0.002603000
2;auspol2019;hash_cerrado_quadratic;user_id;40000;0.002937300
2;auspol2019;hash_cerrado_quadratic;user_id;50000;0.003270400
2;auspol2019;hash_cerrado_quadratic;user_id;60000;0.005090500
2;auspol2019;hash_cerrado_quadratic;user_id;70000;0.005404400
2;auspol2019;hash_cerrado_quadratic;user_id;80000;0.005708800
2;auspol2019;hash_cerrado_quadratic;user_id;90000;0.005963400
2;auspol2019;hash_cerrado_quadratic;user_id;100000;0.006204500
2;auspol2019;hash_cerrado_quadratic;user_id;110000;0.006447100
2;auspol2019;hash_cerrado_quadratic;user_id;120000;0.006676600
