estructura_de_datos;clave;cantidad_consultas;tiempo_promedio;tiempo_desviacion_estandar;repeticiones_usadas
hash_cerrado_quadratic;user_id;160000;0.0076963050000000005;0.001189246409983186;20
hash_cerrado_quadratic;user_id;170000;0.00803182;0.001225844709234369;20
hash_cerrado_quadratic;user_id;180000;0.008308035;0.0012456629341650299;20
unordered_map;screen_name;10000;0.0015770099999999998;0.0003276567473824751;20
unordered_map;screen_name;20000;0.0029556599999999997;0.0005255259855360952;20
unordered_map;screen_name;30000;0.00413436;0.0007636817892014283;20
unordered_map;screen_name;40000;0.006286735;0.004214599483534025;20
unordered_map;screen_name;50000;0.007272985;0.004666961705804684;20
unordered_map;screen_name;60000;0.00828098;0.004791977609296605;20
unordered_map;screen_name;70000;0.009235065;0.004829346442464249;20
unordered_map;screen_name;80000;0.01015767;0.004863044275489215;20
unordered_map;screen_name;90000;0.010995145;0.004920431404543284;20
unordered_map;screen_name;100000;0.01176166;0.004979124587441368;20
unordered_map;screen_name;110000;0.012643080000000001;0.005297707957975789;20
unordered_map;screen_name;120000;0.013452195;0.005600933854792713;20
unordered_map;screen_name;130000;0.014299655;0.005834241049228255;20
unordered_map;screen_name;140000;0.015099665000000002;0.006253372984429662;20
unordered_map;screen_name;150000;0.016080829999999997;0.00665849227789911;20
unordered_map;screen_name;160000;0.01717533;0.006832134704630063;20
unordered_map;screen_name;170000;0.01917679;0.006993802554735985;20
unordered_map;screen_name;180000;0.020000024999999998;0.007054676954137365;20
unordered_map;user_id;10000;0.00110481;0.00022704696685464605;20
unordered_map;user_id;20000;0.0020203499999999998;0.0003042878908637605;20
unordered_map;user_id;30000;0.002707105;0.00037567736083954866;20
unordered_map;user_id;40000;0.0035746199999999997;0.0004456123918715388;20
unordered_map;user_id;50000;0.004035840000000001;0.0004979504777744365;20
unordered_map;user_id;60000;0.00456391;0.0005729352327683895;20
unordered_map;user_id;70000;0.0050976500000000004;0.000673092502831833;20
unordered_map;user_id;80000;0.0056419999999999994;0.0007558137294890922;20
unordered_map;user_id;90000;0.006101665;0.0008113851660326893;20
unordered_map;user_id;100000;0.006513615;0.000850281320180191;20
unordered_map;user_id;110000;0.006955174999999999;0.0008928931579127303;20
unordered_map;user_id;120000;0.007385125000000001;0.0009465426722524115;20
unordered_map;user_id;130000;0.007848579999999999;0.0010308406853274247;20
unordered_map;user_id;140000;0.008228655;0.0010781572610001602;20
unordered_map;user_id;150000;0.00874311;0.0011552448097356042;20
unordered_map;user_id;160000;0.009344725;0.001234983403201926;20
unordered_map;user_id;170000;0.0106461;0.001286618508870606;20
unordered_map;user_id;180000;0.010975465;0.0013242745737215007;20
